MORATORIUM TYPE,STREET ADDRESS BEGIN,STREET ADDRESS END,STREET ADDRESS PREFIX,STREET NAME,STREET NAME SUFFIX,START DATE,EXPIRATION DATE
Street Resurfacing,2000,2359,W,ARMITAGE,AVE,2014-09-03T00:00:00,2019-09-02T00:00:00
Street Resurfacing,6400,6459,S,LAFLIN,ST,2015-08-12T00:00:00,2020-08-12T00:00:00
Street Resurfacing,3032,3159,W,WAVELAND,AVE,2014-05-20T00:00:00,2019-05-20T00:00:00
Street Resurfacing,432,627,E,65TH,ST,2013-09-13T00:00:00,2018-09-13T00:00:00
Street Resurfacing,3000,3125,N,HAUSSEN,CT,2011-08-18T00:00:00,2017-12-02T00:00:00
Street Construction,3426,3525,E,107TH,ST,2015-01-27T00:00:00,2024-08-12T00:00:00
Street Resurfacing,801,1157,N,KEDVALE,AVE,2015-10-07T00:00:00,2020-10-07T00:00:00
Street Resurfacing,4300,5500,S,MICHIGAN,AVE,2012-10-05T00:00:00,2017-10-05T00:00:00
Street Resurfacing,1134,1258,W,81ST,ST,2014-12-22T00:00:00,2019-12-22T00:00:00
Street Resurfacing,6301,6459,S,VERNON,AVE,2013-06-28T00:00:00,2018-05-10T00:00:00
Street Resurfacing,400,527,E,100TH,ST,2013-09-03T00:00:00,2018-09-03T00:00:00
Street Resurfacing,1132,1159,W,123RD,ST,2015-06-29T00:00:00,2020-06-29T00:00:00
Street Resurfacing,6500,6559,N,OAK PARK,AVE,2014-07-24T00:00:00,2019-07-24T00:00:00
Traffic Restriction,1,1159,S,CLARK,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,8500,8559,S,KARLOV,AVE,2015-08-04T00:00:00,2020-08-04T00:00:00
Street Resurfacing,1000,1147,W,ARDMORE,AVE,2011-08-01T00:00:00,2017-06-02T00:00:00
Street Resurfacing,2000,3200,W,ADDISON,ST,2010-12-10T00:00:00,2015-12-10T00:00:00
Street Resurfacing,2800,2859,S,HAMLIN,AVE,2013-05-06T00:00:00,2018-05-06T00:00:00
Street Resurfacing,400,544,N,MILWAUKEE,AVE,2013-12-11T00:00:00,2018-12-11T00:00:00
Street Resurfacing,3000,3059,S,KEDVALE,AVE,2012-12-19T00:00:00,2017-11-19T00:00:00
Street Resurfacing,500,545,N,LEAVITT,ST,2013-09-20T00:00:00,2018-09-20T00:00:00
Street Resurfacing,5000,5113,N,RIDGEWAY,AVE,2012-05-11T00:00:00,2017-05-11T00:00:00
Street Resurfacing,6246,6559,S,COAST GUARD,DR,2014-08-26T00:00:00,2019-08-25T00:00:00
Street Resurfacing,2400,2459,W,WILSON,AVE,2012-08-02T00:00:00,2017-08-02T00:00:00
Street Resurfacing,2200,2327,W,BYRON,ST,2011-08-01T00:00:00,2016-10-15T00:00:00
Street Resurfacing,601,757,N,ARMOUR,ST,2011-09-06T00:00:00,2016-08-25T00:00:00
Street Resurfacing,10500,10559,S,TALMAN,AVE,2014-07-28T00:00:00,2019-07-28T00:00:00
Street Resurfacing,6400,6463,N,LAKEWOOD,AVE,2014-10-27T00:00:00,2019-10-27T00:00:00
Street Resurfacing,44,159,E,16TH,ST,2015-01-29T00:00:00,2020-01-29T00:00:00
Street Resurfacing,11400,11463,S,COTTAGE GROVE,AVE,2012-06-15T00:00:00,2018-06-15T00:00:00
Street Resurfacing,600,621,N,MCCLURG,CT,2014-06-03T00:00:00,2019-06-03T00:00:00
Street Resurfacing,3700,3769,N,FREMONT,ST,2015-06-29T00:00:00,2020-06-29T00:00:00
Street Resurfacing,5432,5491,N,AUSTIN,AVE,2012-05-02T00:00:00,2017-05-02T00:00:00
Street Resurfacing,2432,2459,W,82ND,ST,2012-10-08T00:00:00,2017-10-08T00:00:00
Street Resurfacing,5100,5259,S,NARRAGANSETT,AVE,2015-06-08T00:00:00,2020-06-08T00:00:00
Street Resurfacing,2800,2859,N,MONITOR,AVE,2014-06-27T00:00:00,2019-06-27T00:00:00
Street Resurfacing,5638,6245,S,LAKE SHORE,DR,2014-09-02T00:00:00,2019-09-01T00:00:00
Street Resurfacing,400,599,E,37TH,ST,2014-11-05T00:00:00,2019-11-05T00:00:00
Traffic Restriction,1,150,N,CLINTON,ST,2015-03-16T00:00:00,2016-06-30T00:00:00
Street Resurfacing,5816,6067,N,OCONTO,AVE,2011-07-22T00:00:00,2016-11-16T00:00:00
Street Construction,5200,5230,N,NATCHEZ,AVE,2011-09-27T00:00:00,2018-09-27T00:00:00
Street Resurfacing,5959,6059,S,ELLIS,AVE,2013-05-29T00:00:00,2018-05-29T00:00:00
Traffic Restriction,134,212,E,NORTH WATER LOWER,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,6700,6759,N,ONARGA,AVE,2011-08-18T00:00:00,2016-06-14T00:00:00
Street Resurfacing,5400,5459,S,SEELEY,AVE,2011-10-28T00:00:00,2016-10-17T00:00:00
Street Resurfacing,3300,3357,N,PARIS,AVE,2013-08-13T00:00:00,2018-08-13T00:00:00
Street Resurfacing,3401,3459,E,95TH,ST,2012-12-17T00:00:00,2019-12-31T00:00:00
Street Resurfacing,3100,3159,N,KNOX,AVE,2015-04-30T00:00:00,2020-04-30T00:00:00
Street Resurfacing,3100,3159,N,KNOX,AVE,2015-04-30T00:00:00,2020-04-30T00:00:00
Street Resurfacing,4600,4751,W,VAN BUREN,ST,2014-10-23T00:00:00,2019-10-23T00:00:00
Street Resurfacing,5800,5825,N,FOREST GLEN,AVE,2011-08-01T00:00:00,2016-12-02T00:00:00
Street Resurfacing,300,325,W,96TH,ST,2015-07-07T00:00:00,2020-07-07T00:00:00
Street Resurfacing,1100,1827,W,77TH,ST,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,4124,4359,W,THOMAS,ST,2012-10-17T00:00:00,2017-10-12T00:00:00
Street Resurfacing,5301,5359,S,HERMITAGE,AVE,2011-07-22T00:00:00,2016-07-13T00:00:00
Street Resurfacing,2832,2959,W,72ND,ST,2015-08-17T00:00:00,2020-08-17T00:00:00
Street Resurfacing,6611,6671,S,MICHIGAN,AVE,2012-08-21T00:00:00,2017-08-08T00:00:00
Street Resurfacing,4440,4659,S,WHIPPLE,ST,2015-06-26T00:00:00,2020-06-26T00:00:00
Street Resurfacing,9400,9421,S,YALE,AVE,2011-08-18T00:00:00,2017-09-22T00:00:00
Street Resurfacing,800,1259,W,GEORGE,ST,2014-11-28T00:00:00,2019-11-28T00:00:00
Street Resurfacing,2000,2061,W,DICKENS,AVE,2012-07-17T00:00:00,2017-07-17T00:00:00
Traffic Restriction,400,679,N,MCCLURG,CT,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,2132,2232,N,ST LOUIS,AVE,2015-06-15T00:00:00,2020-06-15T00:00:00
